record_id,buoy_id,Name,Country,Site Type,latitude,longitude,Date,Tz,Peak Direction,Tpeak,Wave Height,Temperature,Spread
1,14,SW Isles of Scilly WaveNet Site,England,Ocean,49.82,-6.54,17/04/2023,7.2,263,10,1.8,10.8,26
2,7,Hayling Island Waverider,England,Coastal,50.73,-0.96,17/04/2023,4,193,11.1,0.2,10.2,14
3,5,Firth of Forth WaveNet Site,Scotland,null,56.19,-2.5,17/04/2023,3.7,115,4.5,0.6,7.8,28
4,3,Chesil Waverider,England,Coastal,50.6,-2.52,17/04/2023,5.5,225,8.3,0.5,10.2,48
5,10,M6 Buoy,Ireland,Ocean,53.06,-15.93,17/04/2023,7.6,240,11.7,4.5,11.5,89
6,9,Lomond,Scotland,Ocean,57.2,2.2,17/04/2023,4,NaN,NaN,0.5,NaN,NaN
7,2,Cardigan Bay,Wales,Coastal,52.433333,-4.8,17/04/2023,5.9,239,10.5,0.69,9.9,18
8,14,SW Isles of Scilly WaveNet Site,England,Ocean,49.82,-6.54,15/04/2023,7.2,277,12.5,2.23,10.95,18
9,7,Hayling Island Waverider,England,Coastal,50.73,-0.96,15/04/2023,3.7,55,5.1,0.55,9.65,31
10,5,Firth of Forth WaveNet Site,Scotland,null,56.19,-2.5,15/04/2023,3.2,124,3.9,0.71,7.35,23
11,3,Chesil Waverider,England,Coastal,50.6,-2.52,15/04/2023,3.2,260,3.4,0.21,8.95,67
12,10,M6 Buoy,Ireland,Ocean,53.06,-15.93,15/04/2023,6.6,224,8.3,2.7,11.4,NaN
13,9,Lomond,Scotland,Ocean,57.2,2.2,15/04/2023,5,NaN,NaN,0.7,NaN,NaN
14,2,Cardigan Bay,Wales,Coastal,52.433333,-4.8,15/04/2023,4.9,233,9.5,0.75,9.9,14
15,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,01/01/2022,6.6,267,12.5,3.06,10.25,49
16,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,02/01/2022,8.2,269,12.5,5.56,10.2,28
17,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,03/01/2022,8.5,280,12.5,5.27,10.15,41
18,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,04/01/2022,8.3,335,12.5,5.37,10,49
19,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,05/01/2022,8,13,12.5,4.74,10,23
20,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,06/01/2022,6,273,15.4,2.42,9.9,45
21,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,07/01/2022,10.6,300,16.7,6.5,9.9,18
22,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,08/01/2022,10.6,304,18.2,6.72,9.85,23
23,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,09/01/2022,11.5,302,16.7,8.82,9.8,23
24,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,10/01/2022,9.4,307,15.4,5.27,9.8,38
25,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,11/01/2022,8.5,277,12.5,5.96,9.75,23
26,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,12/01/2022,9.3,278,15.4,6.5,9.75,23
27,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,13/01/2022,8.6,293,15.4,5.96,9.75,28
28,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,14/01/2022,8.6,284,14.3,4.83,9.75,35
29,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,15/01/2022,8.4,321,13.3,3.36,9.7,28
30,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,16/01/2022,5.8,283,8.7,2.83,9.65,28
31,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,17/01/2022,7,305,10.5,3.96,9.65,31
32,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,18/01/2022,6.7,322,11.8,3.11,9.65,23
33,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,19/01/2022,7.5,297,15.4,4.26,9.4,38
34,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,20/01/2022,7.3,294,11.1,3.62,9.5,34
35,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,21/01/2022,7.3,294,10.5,2.62,9.5,58
36,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,22/01/2022,6.2,290,9.1,2.83,9.3,34
37,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,23/01/2022,7.6,314,14.3,4.18,9.35,31
38,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,24/01/2022,8.1,287,12.5,5.27,9.45,28
39,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,25/01/2022,8.3,304,12.5,4.04,9.45,23
40,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,26/01/2022,6.8,294,11.1,2.94,9.4,31
41,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,27/01/2022,8.3,321,12.5,5.66,9.4,28
42,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,28/01/2022,7.3,288,10,3.36,9.4,34
43,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,29/01/2022,7.5,277,11.1,5.09,9.5,34
44,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,30/01/2022,9.1,297,13.3,5.37,9.45,23
45,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,31/01/2022,7.9,309,10.5,6.17,9.4,41
46,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,01/02/2022,7.9,290,10,5.56,9.4,34
47,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,02/02/2022,8.9,321,13.3,5.18,9.25,28
48,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,03/02/2022,7.4,290,10,3.82,9.3,49
49,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,04/02/2022,8,277,11.8,5.66,9.25,23
50,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,05/02/2022,8.2,284,11.1,5.27,9.25,41
51,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,06/02/2022,9.4,280,14.3,7.08,9.15,32
52,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,07/02/2022,10.3,276,12.5,6.96,9.1,18
53,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,08/02/2022,9.6,311,13.3,7.71,9.1,23
54,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,09/02/2022,11.3,287,20,10.08,8.95,38
55,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,10/02/2022,10.1,295,16.7,7.84,8.95,34
56,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,11/02/2022,8.9,294,14.3,4.18,8.35,38
57,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,12/02/2022,7.8,219,11.1,5.18,8.6,29
58,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,13/02/2022,7.7,253,12.5,4.58,9.15,28
59,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,14/02/2022,7.1,335,11.1,3.55,9.15,53
60,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,15/02/2022,5.1,302,10,2.23,9,62
61,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,16/02/2022,8.4,293,12.5,4.18,9.05,28
62,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,17/02/2022,8.4,264,13.3,5.66,8.9,23
63,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,18/02/2022,9.6,263,15.4,5,8.85,31
64,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,19/02/2022,8.6,281,13.3,5.56,8.85,34
65,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,20/02/2022,6.9,276,13.3,3.96,8.85,28
66,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,21/02/2022,12.3,270,18.2,12.09,8.75,28
67,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,22/02/2022,8.8,285,15.4,5.86,8.8,30
68,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,23/02/2022,10.3,300,16.7,9.12,8.8,34
69,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,24/02/2022,11.6,284,20,10.95,8.8,29
70,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,25/02/2022,9.7,276,15.4,7.71,8.75,31
71,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,26/02/2022,7.5,277,12.5,5.27,8.8,28
72,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,27/02/2022,9.6,300,16.7,7.97,8.9,23
73,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,28/02/2022,7.9,288,14.3,5.46,8.9,31
74,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,01/03/2022,10.9,271,15.4,7.84,8.95,34
75,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,02/03/2022,8.2,294,13.3,3.62,9.05,34
76,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,03/03/2022,6.9,278,13.3,3.75,9.1,23
77,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,04/03/2022,9.5,264,16.7,4.34,9,28
78,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,05/03/2022,10.2,281,14.3,4.26,9,29
79,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,06/03/2022,9.1,255,14.3,2.62,8.95,38
80,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,07/03/2022,6.6,273,10,3.29,9.1,28
81,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,08/03/2022,7.1,246,11.1,4.42,8.9,28
82,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,09/03/2022,7.4,232,14.3,4.66,8.75,45
83,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,10/03/2022,8.6,298,13.3,4.11,8.75,28
84,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,11/03/2022,8.1,248,14.3,5.37,8.75,26
85,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,12/03/2022,10.8,262,16.7,4.74,8.7,23
86,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,13/03/2022,8,273,13.3,3.11,8.7,28
87,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,14/03/2022,7.3,295,14.3,3.23,8.7,29
88,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,15/03/2022,7.2,287,14.3,4.04,8.7,28
89,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,16/03/2022,12.3,307,18.2,8.25,8.6,23
90,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,17/03/2022,10.2,299,16.7,5.37,8.6,28
91,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,18/03/2022,9,290,14.3,5.96,8.6,38
92,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,19/03/2022,7.9,280,14.3,4.42,8.6,35
93,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,20/03/2022,8.5,255,13.3,4.26,8.6,23
94,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,21/03/2022,6.4,259,12.5,2.52,8.5,18
95,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,22/03/2022,5.4,253,18.2,1.82,8.5,23
96,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,23/03/2022,7.1,260,13.3,2.42,8.55,28
97,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,24/03/2022,6.5,249,10.5,1.43,8.7,38
98,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,25/03/2022,5.7,333,11.1,1.21,8.85,46
99,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,26/03/2022,6.4,266,8,1.18,9,34
100,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,27/03/2022,9.5,302,13.3,1.78,9,49
101,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,28/03/2022,9.1,267,12.5,1.49,9.2,28
102,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,29/03/2022,9.4,329,12.5,2.23,9.25,41
103,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,30/03/2022,5.1,336,10,1.98,8.8,45
104,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,31/03/2022,5,357,10,1.9,8.5,36
105,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,01/04/2022,5.7,326,10,1.33,8.5,49
106,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,02/04/2022,5.2,353,8.7,1.9,8.5,29
107,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,03/04/2022,5.9,271,16.7,0.97,8.6,28
108,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,04/04/2022,6,288,7.4,3.11,8.6,28
109,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,05/04/2022,6.4,269,9.1,2.89,8.6,34
110,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,06/04/2022,6.4,262,8.3,3.42,8.65,34
111,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,07/04/2022,7.4,255,12.5,4.04,8.65,23
112,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,08/04/2022,6.9,346,11.1,3.42,8.6,32
113,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,09/04/2022,6.4,359,11.1,2.42,8.55,31
114,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,10/04/2022,7.6,267,12.5,1.86,8.6,34
115,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,11/04/2022,7.6,236,16.7,3.48,8.5,23
116,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,12/04/2022,6,257,11.8,2.47,8.45,41
117,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,13/04/2022,7.7,274,10.5,1.49,8.6,57
118,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,14/04/2022,5.2,343,10,0.94,8.75,49
119,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,15/04/2022,5.1,239,8.3,1.56,8.65,28
120,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,16/04/2022,7.8,262,11.8,2.19,8.8,21
121,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,17/04/2022,7.9,278,13.3,3.48,8.7,23
122,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,18/04/2022,7,259,10.5,1.94,8.7,28
123,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,19/04/2022,7.3,256,10.5,3.29,8.8,35
124,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,20/04/2022,7.5,273,9.5,2.37,8.95,23
125,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,21/04/2022,6.2,269,8.3,1.82,8.75,18
126,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,22/04/2022,7.9,255,15.4,2.52,8.8,28
127,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,23/04/2022,5,277,11.8,1.74,9,38
128,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,24/04/2022,4.6,6,7.4,1.21,9.05,23
129,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,25/04/2022,4.2,357,6.5,1.18,9.05,18
130,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,26/04/2022,4,20,6.3,1.04,9.05,18
131,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,27/04/2022,4.1,359,5.4,0.53,9.45,31
132,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,28/04/2022,4.1,195,4.5,0.55,9.6,38
133,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,29/04/2022,6.6,0,10,0.67,9.5,26
134,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,30/04/2022,3.8,267,11.8,0.63,9.95,53
135,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,01/05/2022,7,249,8.7,2.28,9.7,18
136,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,02/05/2022,6.1,239,11.8,1.63,9.7,31
137,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,03/05/2022,6.6,245,10.5,1.49,9.95,41
138,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,04/05/2022,5.4,273,9.5,1.43,9.8,41
139,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,05/05/2022,6.4,329,8.7,2.23,10,23
140,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,06/05/2022,5.3,256,7.1,2.23,9.95,34
141,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,07/05/2022,6.2,271,10,1.63,10.15,38
142,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,08/05/2022,5.4,297,8.7,1.36,10.85,41
143,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,09/05/2022,5.8,250,9.5,2.1,10.55,18
144,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,10/05/2022,6,266,9.1,2.78,10.5,23
145,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,11/05/2022,7.7,264,12.5,4.11,10.45,23
146,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,12/05/2022,6.7,266,11.1,3.17,10.4,41
147,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,13/05/2022,6.4,281,8.3,3.23,10.15,28
148,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,14/05/2022,6.9,259,10,3.06,10.25,35
149,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,15/05/2022,7,287,9.5,2.15,10.75,49
150,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,16/05/2022,6.4,281,10.5,1.7,11,38
151,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,17/05/2022,4.3,276,10,1.1,10.75,45
152,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,18/05/2022,9.4,232,15.4,4.26,10.75,31
153,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,19/05/2022,7.1,243,11.8,3.23,10.8,26
154,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,20/05/2022,6.9,236,11.1,3.75,10.9,26
