record_id,buoy_id,Name,Date,Tz,Peak Direction,Tpeak,Wave Height,Temperature,Spread,Operations,Seastate,Quadrant
1,16,West of Hebrides,11/12/2020,7.9,253,13.3,1.94,15.7,18, crew ,swell,west
2,16,West of Hebrides,12/12/2020,4.6,246,10,1.15,15.25,35, crew ,swell,west
3,16,West of Hebrides,13/12/2020,6,352,9.5,2.67,14.8,28, crew ,swell,north
4,16,West of Hebrides,14/12/2020,5.8,255,15.4,1.82,14.7,31, crew ,swell,west
5,16,West of Hebrides,15/12/2020,6,278,13.3,1.86,14.65,23, crew ,swell,west
6,16,West of Hebrides,16/12/2020,5.2,332,7.1,1.86,14.55,34, crew ,swell,north
7,16,West of Hebrides,17/12/2020,5.4,340,10,1.43,14.45,53, crew ,swell,north
8,16,West of Hebrides,18/12/2020,5.2,307,10.5,1.39,14.25,57, crew ,swell,north
9,16,West of Hebrides,19/12/2020,6.6,279,9.5,1.33,14.25,49, crew ,swell,west
10,16,West of Hebrides,20/12/2020,4.9,286,9.5,1.7,14.2,41, crew ,swell,west
11,16,West of Hebrides,21/12/2020,5,229,7.4,2.06,14.7,28, crew ,swell,west
12,16,West of Hebrides,22/12/2020,6,248,8.3,2.47,14.7,23, crew ,swell,west
13,16,West of Hebrides,23/12/2020,6.7,276,11.1,2.52,14.5,26, crew ,swell,west
14,16,West of Hebrides,24/12/2020,6.3,271,10,2.15,14.45,26, crew ,swell,west
15,16,West of Hebrides,25/12/2020,6,302,10,1.98,14.35,41, crew ,swell,north
16,16,West of Hebrides,26/12/2020,9.4,316,15.4,7.32,14.15,28,no go,swell,north
17,16,West of Hebrides,27/12/2020,9.5,1,13.3,6.17,14.15,23,no go,swell,north
18,16,West of Hebrides,28/12/2020,8,8,12.5,3.36,14.05,23,survey,swell,north
19,14,SW Isles of Scilly WaveNet Site,11/12/2020,9.1,NaN,NaN,2.48,NaN,NaN, crew ,NaN,unknown
20,14,SW Isles of Scilly WaveNet Site,12/12/2020,5.6,NaN,NaN,1.92,NaN,NaN, crew ,NaN,unknown
21,14,SW Isles of Scilly WaveNet Site,13/12/2020,7.3,NaN,NaN,2.62,NaN,NaN, crew ,NaN,unknown
22,14,SW Isles of Scilly WaveNet Site,14/12/2020,6.3,NaN,NaN,2.56,NaN,NaN, crew ,NaN,unknown
23,14,SW Isles of Scilly WaveNet Site,15/12/2020,7.7,NaN,NaN,5.06,NaN,NaN,no go,NaN,unknown
24,14,SW Isles of Scilly WaveNet Site,16/12/2020,8.3,NaN,NaN,5.72,NaN,NaN,no go,NaN,unknown
25,14,SW Isles of Scilly WaveNet Site,17/12/2020,6.9,NaN,NaN,3.78,NaN,NaN,no go,NaN,unknown
26,14,SW Isles of Scilly WaveNet Site,18/12/2020,7.3,NaN,NaN,4.68,NaN,NaN,no go,NaN,unknown
27,14,SW Isles of Scilly WaveNet Site,19/12/2020,6.9,NaN,NaN,1.98,NaN,NaN, crew ,NaN,unknown
28,14,SW Isles of Scilly WaveNet Site,20/12/2020,7.7,NaN,NaN,2.18,NaN,NaN, crew ,NaN,unknown
29,14,SW Isles of Scilly WaveNet Site,21/12/2020,5.9,NaN,NaN,2.66,NaN,NaN, crew ,NaN,unknown
30,14,SW Isles of Scilly WaveNet Site,22/12/2020,4.9,NaN,NaN,1.74,NaN,NaN, crew ,NaN,unknown
31,14,SW Isles of Scilly WaveNet Site,23/12/2020,5.2,NaN,NaN,2.31,NaN,NaN, crew ,NaN,unknown
32,14,SW Isles of Scilly WaveNet Site,24/12/2020,5.3,NaN,NaN,2.51,NaN,NaN, crew ,NaN,unknown
33,14,SW Isles of Scilly WaveNet Site,25/12/2020,5.3,NaN,NaN,2.09,NaN,NaN, crew ,NaN,unknown
34,14,SW Isles of Scilly WaveNet Site,26/12/2020,6.1,NaN,NaN,1.24,NaN,NaN, crew ,NaN,unknown
35,14,SW Isles of Scilly WaveNet Site,27/12/2020,3.8,NaN,NaN,1.08,NaN,NaN, crew ,NaN,unknown
36,14,SW Isles of Scilly WaveNet Site,28/12/2020,4.7,NaN,NaN,1.5,NaN,NaN, crew ,NaN,unknown
