buoy_id,Name,Manufacturer,Depth,Type,operator
1,Beryl A,saab,104m ,Downward-looking wave radar,Shell UK
2,Cardigan Bay,Waverider,48m,Directional,Met Office
3,Chesil Waverider,Waverider,10m,Directional,Channel Coastal Observatory
4,Claymore,saab,150m,Downward-looking wave radar,Oil and Gas UK
5,Firth of Forth WaveNet Site, Waverider MkIII,65m,Directional,Cefas
6,Greenwich Light Vessel,unknown,51m,Unspecified wave measurement sensor,Met Office
7,Hayling Island Waverider,Triaxiy,10.2m,Directional,Cefas
8,K7,Triaxiys,650m,Directional,Cefas
9,Lomond,saab,unknown,Downward-looking wave radar,Oil and Gas UK
10,M6 Buoy,unknown,>2000m,unknown,Irish Marine Institute
11,South Pembrokeshire WaveNet Site, Waverider MkIII,20m,Directional,Cefas
12,Southwold Approach WaveNet Site, Waverider MkIII,23m,Directional,Cefas
13,SW Isles of Scilly WaveNet Site,Waverider,96m,Directional,Cefas
14,SW Isles of Scilly WaveNet Site, Waverider MkIII,96m,Directional,Cefas
15,Torness Power Station Waverider, Waverider MkIII,17m,Directional,Cefas
16,West of Hebrides, Waverider MkIII,100m,Directional,Cefas
